"car_name_year"	"origin"	"specification"	"value"
"chevrolet chevelle malibu_70"	"domestic"	"mpg"	18
"buick skylark 320_70"	"domestic"	"mpg"	15
"plymouth satellite_70"	"domestic"	"mpg"	18
"amc rebel sst_70"	"domestic"	"mpg"	16
"ford torino_70"	"domestic"	"mpg"	17
"ford galaxie 500_70"	"domestic"	"mpg"	15
"chevrolet impala_70"	"domestic"	"mpg"	14
"plymouth fury iii_70"	"domestic"	"mpg"	14
"pontiac catalina_70"	"domestic"	"mpg"	14
"amc ambassador dpl_70"	"domestic"	"mpg"	15
"dodge challenger se_70"	"domestic"	"mpg"	15
"plymouth 'cuda 340_70"	"domestic"	"mpg"	14
"chevrolet monte carlo_70"	"domestic"	"mpg"	15
"buick estate wagon (sw)_70"	"domestic"	"mpg"	14
"toyota corona mark ii_70"	"Asia"	"mpg"	24
"plymouth duster_70"	"domestic"	"mpg"	22
"amc hornet_70"	"domestic"	"mpg"	18
"ford maverick_70"	"domestic"	"mpg"	21
"datsun pl510_70"	"Asia"	"mpg"	27
"volkswagen 1131 deluxe sedan_70"	"Europe"	"mpg"	26
"peugeot 504_70"	"Europe"	"mpg"	25
"audi 100 ls_70"	"Europe"	"mpg"	24
"saab 99e_70"	"Europe"	"mpg"	25
"bmw 2002_70"	"Europe"	"mpg"	26
"amc gremlin_70"	"domestic"	"mpg"	21
"ford f250_70"	"domestic"	"mpg"	10
"chevy c20_70"	"domestic"	"mpg"	10
"dodge d200_70"	"domestic"	"mpg"	11
"hi 1200d_70"	"domestic"	"mpg"	9
"datsun pl510_71"	"Asia"	"mpg"	27
"chevrolet vega 2300_71"	"domestic"	"mpg"	28
"toyota corona_71"	"Asia"	"mpg"	25
"ford pinto_71"	"domestic"	"mpg"	25
"amc gremlin_71"	"domestic"	"mpg"	19
"plymouth satellite custom_71"	"domestic"	"mpg"	16
"chevrolet chevelle malibu_71"	"domestic"	"mpg"	17
"ford torino 500_71"	"domestic"	"mpg"	19
"amc matador_71"	"domestic"	"mpg"	18
"chevrolet impala_71"	"domestic"	"mpg"	14
"pontiac catalina brougham_71"	"domestic"	"mpg"	14
"ford galaxie 500_71"	"domestic"	"mpg"	14
"plymouth fury iii_71"	"domestic"	"mpg"	14
"dodge monaco (sw)_71"	"domestic"	"mpg"	12
"ford country squire (sw)_71"	"domestic"	"mpg"	13
"pontiac safari (sw)_71"	"domestic"	"mpg"	13
"amc hornet sportabout (sw)_71"	"domestic"	"mpg"	18
"chevrolet vega (sw)_71"	"domestic"	"mpg"	22
"pontiac firebird_71"	"domestic"	"mpg"	19
"ford mustang_71"	"domestic"	"mpg"	18
